R,CR,LBY,CLA,DRIVER,TEAM,SCORE,STAT 1,STAT 2,STAT 3,STAT 4,STAT 5,STAT 6,STAT 7,STAT 8
253,135,D,GT,Snow3883,Porsche Team PaINske,32.477,45.00%,32.43%,17.14%,,,,,
254,136,C,GT,PTG ROB0611,PTG Ninjersey,32.306,37.84%,32.86%,30.56%,30.56%,20.00%,,,
255,119,C,P,ChungJohn457,Autoholic Virgin Racing,32.193,38.24%,36.36%,30.65%,14.71%,,,,
256,137,B,GT,ZR Taffy,Zephyrus Red,31.954,52.50%,35.00%,10.26%,0.00%,,,,
257,138,C,GT,MetalBomb269,DNFX skill issued,31.601,37.14%,36.11%,27.50%,,,,,
258,120,C,P,CBL BXKong,Cheese Burger League Racing,31.438,47.06%,33.33%,21.21%,16.13%,15.63%,,,
259,139,C,GT,Akilyou432,Raven Racing II,31.258,47.50%,36.84%,21.62%,18.75%,17.95%,8.57%,,
260,140,D,GT,DMS Hunter21,DMS eSports Ford,31.107,55.00%,25.64%,18.57%,16.22%,9.38%,,,
261,121,D,P,Blocktoberfest,Local Line,30.123,41.18%,38.24%,23.53%,10.48%,9.68%,,,
262,141,C,GT,raygun vs zombi,Raven Racing II,29.554,47.50%,25.00%,19.44%,6.43%,,,,
263,142,D,GT,EVR Dunkey,Evolve Racing,29.209,42.50%,30.77%,20.59%,17.95%,12.86%,,,
264,143,C,GT,DesertWolf66,The Wolf Pack,28.810,55.00%,0.00%,,,,,,
265,122,C,P,CBL Muhammad,Cheese Burger League Racing,28.456,47.06%,20.59%,18.75%,11.29%,,,,
266,144,D,GT,Ax4x Mikun,Team Sakura Retrocrushes 1.5,28.325,37.50%,31.43%,25.00%,3.13%,,,,
267,145,C,GT,GodzillaCR19,Skill Issue Crew,28.280,35.90%,35.00%,22.86%,2.63%,,,,
268,123,C,P,Uninanimate21,APEX Driving School - PRO,27.708,32.35%,28.13%,26.61%,26.47%,16.13%,,,
269,146,C,GT,eMC Motoman,eMotorsport Racing Team,27.656,33.33%,32.35%,22.50%,15.00%,,,,
270,147,D,GT,EVR Cactus,Evolve Racing,27.221,42.50%,20.51%,20.00%,14.29%,,,,
271,148,D,GT,EVR Tropical,Evolve Racing,26.846,42.50%,19.44%,18.92%,15.71%,,,,
272,149,C,GT,NCRottweilas,Skill Issue Crew,25.772,35.00%,23.08%,21.05%,,,,,
273,150,D,GT,Jeeday5415,Phoenix Motorsport,25.598,33.33%,28.21%,25.64%,19.29%,12.50%,11.11%,,
274,124,C,P,APEX FUEGO,APEX Driving School - PRO,25.429,32.35%,30.30%,20.59%,18.18%,7.26%,,,
275,125,D,P,UDP Haymaker,UDP Racing - Blue,24.855,44.12%,6.67%,,,,,,
276,126,D,P,UDPhyper,UDP Racing - Blue,24.578,44.12%,14.71%,14.71%,8.06%,,,,
277,127,D,P,BotATron99,FTC Porche,24.056,31.45%,23.53%,21.88%,18.75%,12.90%,,,
278,151,D,GT,shad0wzgamer,1HOR,23.715,40.00%,15.38%,7.69%,,,,,
279,152,D,GT,APEX FIAT,APEX Driving School - AM,23.673,32.50%,28.57%,16.43%,0.00%,,,,
280,153,C,GT,eMC Zoombat,eMotorsport Racing Team,23.608,27.03%,25.64%,22.50%,17.86%,,,,
281,154,C,GT,TIICTaco,Skill Issue Crew,22.869,35.00%,23.57%,14.71%,0.00%,,,,
282,155,D,GT,APEX FORTUNE 19,APEX Driving School - AM,22.739,32.50%,31.58%,15.79%,12.50%,9.29%,5.41%,,
283,128,D,P,QueenBibah24,Local Line,22.090,41.18%,15.15%,9.38%,3.03%,,,,
284,156,C,GT,Scorpio2656,The Wolf Pack,22.075,42.14%,0.00%,,,,,,
